,Year_x,DOY,Station Number,Air Temp Max,Air Temp Min,Air Temp Mean,Daily Avg Temp (F),RH - Max,RH- Min,RH - Mean,VPD - Mean,Solar Rad Total,Precipitation - Total,Month_x,ID,TMC,Severity,End_Time,City,County,State,Zipcode,Country,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Stop,Traffic_Signal,Weekday,Month_y,Day,Year_y,Season
0,2020,2020-01-01,6,15.0,-0.2,7.0,44.6,96.8,46.2,79.0,0.27,11.87,0.0,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
1,2020,2020-01-02,6,16.7,1.4,8.4,47.12,97.1,28.2,72.9,0.38,12.88,0.0,1,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
2,2020,2020-01-03,6,16.9,-0.2,7.4,45.32,97.0,28.8,72.6,0.39,12.77,0.0,1,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
3,2020,2020-01-04,6,19.3,0.1,8.1,46.58,96.1,27.2,71.4,0.44,12.96,0.0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4,2020,2020-01-05,6,18.9,-0.2,8.6,47.48,97.0,34.3,73.5,0.42,13.48,0.0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5,2020,2020-01-06,6,20.1,0.2,9.0,48.2,96.7,20.5,65.0,0.58,13.41,0.0,1,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
6,2020,2020-01-07,6,20.9,0.0,9.5,49.1,90.7,20.5,58.7,0.68,13.56,0.0,1,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
7,2020,2020-01-08,6,21.0,0.5,9.5,49.1,88.4,20.8,56.9,0.67,13.53,0.0,1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
8,2020,2020-01-09,6,17.7,2.3,9.9,49.82,88.5,34.4,61.7,0.55,10.6,0.0,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
9,2020,2020-01-10,6,16.9,2.3,9.3,48.74,89.9,25.4,59.2,0.56,13.28,0.0,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
10,2020,2020-01-11,6,17.1,-0.8,7.2,44.96,92.0,26.3,64.9,0.46,13.41,0.0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
11,2020,2020-01-12,6,17.3,-2.5,7.2,44.96,94.7,28.8,66.1,0.47,13.56,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,2020,2020-01-13,6,19.0,-1.2,7.9,46.22,93.2,25.8,65.2,0.51,13.74,0.0,1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
13,2020,2020-01-14,6,20.0,-0.5,8.7,47.66,92.7,30.6,66.7,0.52,12.7,0.0,1,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
14,2020,2020-01-15,6,19.1,1.2,10.2,50.36,94.7,30.0,67.3,0.53,11.11,0.0,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
15,2020,2020-01-16,6,17.8,6.7,11.2,52.16,89.7,50.2,75.2,0.36,4.37,0.0,1,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
16,2020,2020-01-17,6,18.3,1.4,9.8,49.64,98.5,34.5,73.4,0.44,13.65,0.0,1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
17,2020,2020-01-18,6,20.9,1.0,9.6,49.28,96.0,20.6,64.7,0.59,13.94,0.0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
18,2020,2020-01-19,6,23.9,1.6,11.6,52.88,88.9,19.7,56.5,0.81,13.94,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,2020,2020-01-20,6,22.7,5.4,13.8,56.84,84.6,29.1,60.2,0.74,7.83,0.0,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
20,2020,2020-01-21,6,16.4,10.5,12.6,54.68,94.5,43.5,83.1,0.26,4.15,5.08,1,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
21,2020,2020-01-22,6,17.9,8.2,12.3,54.14,100.0,52.7,84.9,0.26,13.86,0.0,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
22,2020,2020-01-23,6,20.3,2.5,11.2,52.16,100.0,40.8,81.8,0.35,14.4,0.0,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
23,2020,2020-01-24,6,20.6,2.7,11.4,52.52,100.0,37.4,77.2,0.43,12.83,0.0,1,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
24,2020,2020-01-25,6,23.7,3.5,11.7,53.06,100.0,30.9,76.5,0.47,14.5,0.0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
25,2020,2020-01-26,6,23.9,3.7,12.5,54.5,100.0,34.0,73.2,0.53,14.53,0.0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26,2020,2020-01-27,6,25.8,6.6,14.6,58.28,99.5,16.4,57.1,0.88,14.89,0.0,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
27,2020,2020-01-28,6,23.6,2.7,11.9,53.42,91.4,16.9,51.0,0.83,15.09,0.0,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
