,ID,TMC,Severity,Start_Time,End_Time,City,County,State,Zipcode,Country,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Stop,Traffic_Signal,Weekday,Month,Day,Year,Season
0,A-513395,201,2,2020-12-31,2020-12-31,Sun City West,Maricopa,AZ,85375,US,43.0,10.0,5.0,0.0,Cloudy,Day,False,True,Thursday,12,31,2020,Winter
1,A-513396,201,2,2020-12-31,2020-12-31,Wickenburg,Maricopa,AZ,85390,US,45.0,10.0,3.0,0.0,Light Drizzle,Day,False,False,Thursday,12,31,2020,Winter
5,A-513400,201,2,2020-12-31,2020-12-31,Phoenix,Maricopa,AZ,85027,US,40.0,10.0,0.0,0.0,Fair,Night,False,True,Thursday,12,31,2020,Winter
8,A-513403,201,2,2020-12-31,2020-12-31,Phoenix,Maricopa,AZ,85020,US,40.0,10.0,0.0,0.0,Fair,Night,False,False,Thursday,12,31,2020,Winter
9,A-513404,201,2,2020-12-31,2020-12-31,Phoenix,Maricopa,AZ,85022,US,39.0,10.0,0.0,0.0,Fair,Night,False,True,Thursday,12,31,2020,Winter
10,A-513405,201,2,2020-12-31,2020-12-31,Phoenix,Maricopa,AZ,85009,US,45.0,10.0,12.0,0.0,Mostly Cloudy,Day,False,False,Thursday,12,31,2020,Winter
11,A-513406,201,2,2020-12-31,2020-12-31,Phoenix,Maricopa,AZ,85043,US,48.0,10.0,0.0,0.0,Light Drizzle,Day,True,False,Thursday,12,31,2020,Winter
12,A-513407,201,2,2020-12-31,2020-12-31,Scottsdale,Maricopa,AZ,85260,US,57.0,10.0,6.0,0.0,Fair,Day,False,True,Thursday,12,31,2020,Winter
15,A-513410,201,2,2020-12-31,2020-12-31,Mesa,Maricopa,AZ,85201,US,60.0,10.0,0.0,0.0,Mostly Cloudy,Day,False,True,Thursday,12,31,2020,Winter
16,A-513411,201,2,2020-12-31,2020-12-31,Peoria,Maricopa,AZ,85382,US,57.0,10.0,3.0,0.0,Cloudy,Day,False,False,Thursday,12,31,2020,Winter
